uid,experience,hourly_rate,cv_url,cv_file_name,status,rating,review_count,session_count,created_at
657c8ae5-2d76-41fc-bf97-c731,IMSciences student with consistent A grades in Discrete Mathematics. Friendly and flexible with timings.,400,https://storage.instastudy.pk/cvs/657c8ae5.pdf,cv_faizan.pdf,approved,4.71,3,26,2026-03-08 11:10:49
e17cbcca-3539-4722-9379-c5df,IMSciences student with consistent A grades in Computer Networks. Friendly and flexible with timings.,450,https://storage.instastudy.pk/cvs/e17cbcca.pdf,cv_urooj.pdf,approved,3.92,4,45,2026-01-21 11:10:49
a5fd4e3e-f9bd-4c8c-a939-9d4f,"Final year student at COMSATS. Strong in Calculus, have helped batchmates prepare for exams.",250,https://storage.instastudy.pk/cvs/a5fd4e3e.pdf,cv_zain.pdf,approved,4.07,1,51,2026-02-09 11:10:49
2f46c8c7-0461-4443-b17a-2382,NUST student with a knack for simplifying Data Structures. Patient and structured teaching approach.,600,,,pending,,0,0,2026-03-17 11:10:49
ec00e632-29e2-4e31-a3cf-0a73,NUST student with a knack for simplifying Computer Networks. Patient and structured teaching approach.,250,,,pending,,0,0,2026-02-01 11:10:49
0994c283-0ea3-40c4-bcde-718b,IBA student with strong academic background in Discrete Mathematics. Prefer concept-based teaching.,450,https://storage.instastudy.pk/cvs/0994c283.pdf,cv_areeba.pdf,approved,4.37,3,7,2026-02-18 11:10:49
1e6fe2b4-152a-4700-8cd1-2ab3,Engineering graduate from UET with hands-on experience teaching Statistics to university students.,250,https://storage.instastudy.pk/cvs/1e6fe2b4.pdf,cv_hamza.pdf,approved,4.78,3,20,2025-12-22 11:10:49
36e87989-9545-46ed-9e60-450b,Engineering graduate from UET with hands-on experience teaching Linear Algebra to university students.,300,https://storage.instastudy.pk/cvs/36e87989.pdf,cv_taimur.pdf,approved,4.06,2,36,2026-03-30 11:10:49
4b82d069-e6b2-400f-bb6a-0be7,Scored full marks in Discrete Mathematics. Comfortable explaining concepts from scratch.,300,https://storage.instastudy.pk/cvs/4b82d069.pdf,cv_zohaib.pdf,approved,4.3,4,22,2026-01-10 11:10:49
bacc7676-9e6b-4b28-9fa7-b2a3,IMSciences student with consistent A grades in Statistics. Friendly and flexible with timings.,700,https://storage.instastudy.pk/cvs/bacc7676.pdf,cv_umer.pdf,approved,3.83,4,48,2026-04-03 11:10:49
dc075717-f141-437a-9947-77ea,BS Software Engineering student at NUST. Tutored 10+ students in DBMS last semester.,200,https://storage.instastudy.pk/cvs/dc075717.pdf,cv_shahzaib.pdf,approved,4.71,2,35,2026-02-22 11:10:49
fbb33eb4-df20-4eaf-ade4-8e71,Completed Discrete Mathematics with distinction. Have been helping juniors since 2nd year.,450,,,pending,,0,0,2025-12-11 11:10:49
2416df89-eb10-46bc-b64c-2e00,"3rd year student at LUMS, majoring in Computer Networks-related coursework. Available on weekdays.",600,,,rejected,,0,0,2026-02-09 11:10:49
24c1fa9a-19a0-4dc3-acd3-2e5b,Top of my class in OOP at UCP. Looking to help other students avoid the mistakes I made.,350,,,pending,,0,0,2025-11-25 11:10:49
d93a01df-3994-409b-accc-e555,Passionate about Physics. Have been tutoring since my 2nd year at Air University.,400,https://storage.instastudy.pk/cvs/d93a01df.pdf,cv_aiman.pdf,approved,4.62,5,57,2026-01-05 11:10:49
96375336-7ffd-402a-99d5-d6c8,"3rd year student at LUMS, majoring in Linear Algebra-related coursework. Available on weekdays.",350,,,rejected,,0,0,2025-12-08 11:10:49
